timestamp,symbol,bid,bid_size,ask,ask_size,last,last_size,volume,open,high,low,close
2025-02-24 16:44:45.006027+00:00,SPY,600.2,1300.0,600.23,700.0,600.24,100.0,185787.0,601.98,603.03,596.49,599.94
2025-02-24 16:44:45.389061+00:00,VOO,551.91,1300.0,551.95,300.0,554.02,100.0,26320.0,553.57,554.51,548.51,551.75
2025-02-24 16:49:46.043803+00:00,SPY,600.54,200.0,600.56,400.0,600.55,300.0,188495.0,601.98,603.03,596.49,599.94
2025-02-24 16:49:46.226055+00:00,VOO,552.2,2100.0,552.24,400.0,552.25,100.0,27028.0,553.57,554.51,548.51,551.75
2025-02-24 17:27:28.849107+00:00,SPY,601.36,200.0,601.38,1600.0,601.38,100.0,207891.0,601.98,603.03,596.49,599.94
2025-02-24 17:27:29.026087+00:00,VOO,552.97,1200.0,553.01,3500.0,553.05,100.0,29633.0,553.57,554.51,548.51,551.75
2025-02-24 17:32:32.006550+00:00,SPY,600.87,2500.0,600.9,1200.0,600.93,100.0,210141.0,601.98,603.03,596.49,599.94
2025-02-24 17:32:32.202122+00:00,VOO,552.54,1900.0,552.58,1300.0,552.4,400.0,29879.0,553.57,554.51,548.51,551.75
2025-02-24 17:37:35.443964+00:00,SPY,601.25,900.0,601.27,500.0,601.26,100.0,211792.0,601.98,603.03,596.49,599.94
2025-02-24 17:37:35.973755+00:00,VOO,552.88,2200.0,552.92,1800.0,554.02,100.0,30104.0,553.57,554.51,548.51,551.75
2025-02-24 17:47:08.012891+00:00,SPY,601.35,600.0,601.38,1100.0,601.37,100.0,216292.0,601.98,603.03,596.49,599.94
2025-02-24 17:47:08.401091+00:00,VOO,552.97,1800.0,553.0,800.0,554.02,100.0,30636.0,553.57,554.51,548.51,551.75
